datetime_stamp,date,datetime,temp,feelslike,humidity,dew,precip,precipprob,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,source
2025-05-08 11:00:00,2025-05-08,11:00:00,12.33,12.33,56.56,39.1,0.0,0.0,0.0,0.0,,19.5,10.1,56.0,1021.0,6.2,88.0,556.0,2.0,6.0,10.0,Partially cloudy,partly-cloudy-day,obs
2025-05-08 13:00:00,2025-05-08,13:00:00,15.44,15.44,43.39,37.5,0.0,0.0,0.0,0.0,,17.4,6.7,60.9,1020.0,15.0,78.1,851.0,3.1,9.0,10.0,Partially cloudy,partly-cloudy-day,fcst
